職業	事件名稱	事件內容	屬性	等級	影響
學院	深夜的研究突破·第1條線索	在深夜迎來重大突破。你的付出得到了周遭的一致推崇，讓你在這條道路上更有信心，鋪設了極高的起點。	"財富:中性,快樂:中性,名譽:正向"	普通	"0,0,1"
學院	跨越世代的教授對談·第2條線索	獲得了跨越世代的忘年交與高人指點。對方主動分享珍貴經驗，願意在關鍵時刻成為你的職涯引路人。	"財富:正向,快樂:中性,名譽:中性"	普通	"23,0,0"
學院	來自學生的溫馨謝意·第3條線索	迎來了溫馨的小心意。周圍人自發送來感謝與卡片，證明你的堅守與付出真正溫暖並改變了他人的人生。	"財富:正向,快樂:中性,名譽:中性"	普通	"22,0,0"
學院	在圖書館的隱藏發現·第4條線索	在古老檔案或廢棄角落裡，意外發現了隱藏的秘密。這項發現有可能填補行業空白，甚至改寫部分歷史。	"財富:正向,快樂:中性,名譽:中性"	普通	"18,0,0"
學院	關於論文的靈魂共鳴·第5條線索	發起的交流沙龍吸引了各界精英加入，一場思想的激烈碰撞與交鋒，讓所有人都有了相見恨晚的共?。	"財富:中性,快樂:中性,名譽:正向"	普通	"0,0,1"
學院	核心論文獲頂級認證·第6條線索	核心成果終於被行業內最頂級的機構無條件接受，你打開通知的那一刻，多日來的疲憊全部煙消雲散。	"財富:中性,快樂:中性,名譽:正向"	普通	"0,0,2"
學院	拿到海外研究資助·第7條線索	成功申請到了著名的海外交流或資助計畫，不僅能全額報銷差旅費，還能前往夢寐以求的聖地進修。	"財富:正向,快樂:中性,名譽:中性"	普通	"15,0,0"
學院	公開思辨大會座無虛席·第8條線索	一場公開演說或產品發布會座無虛席，甚至連走廊都擠滿了慕名而來的聽眾，結束後全場起立掌聲雷動。	"財富:正向,快樂:中性,名譽:中性"	普通	"21,0,0"
學院	成功破譯論文瓶頸·第9條線索	在連續不吃不睡的極限拼搏後，你終於成功解開了困擾眾人長達半個世紀的致命瓶頸，令人刮目相看。	"財富:正向,快樂:中性,名譽:中性"	普通	"15,0,0"
學院	指導的學生斬獲大獎·第10條線索	你長年悉心指導的得意門生或團隊成員斬獲行業大獎，他們在領獎時透過鏡頭特別公開感謝你的啟蒙。	"財富:中性,快樂:中性,名譽:正向"	普通	"0,0,1"
